OTU_ID	Rank_1	Rank_2	Rank_3	Rank_4	Rank_5	Rank_6	Rank_7	Rank_8	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover	Consistent_hierarchy
6a6d8054e2a7052fb8fd458dccb2f88b	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1					Chloroplast	100.000	100	0
d0f02fb55f33f41f45d8b5a6a6a5b018	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rickettsiales_1	Mitochondria_1				Mitochondria	100.000	100	0
c18afe570abfe82d2f746ecc6e291bab	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Enterobacterales_1	Enterobacteriaceae_1				Bacteria_Proteobacteria	100.000	100	0
08a1598eb1ea4dca23db1135552cd5a7	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1					Chloroplast	100.000	100	0
7f81672edfff457645f0e23c1fbf45bb	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rickettsiales_1	Mitochondria_1					0	0	0
04d89f63bbfdf6d8f836123bc47251b4	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Sphingomonadales_1	Sphingomonadaceae_1	Sphingomonas_1			Bacteria_Proteobacteria	100.000	100	0
073161cb247f4ada09fa4f5eb7f35ef0	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rickettsiales_1	Mitochondria_1					0	0	0
ece1af985b63ebccd2833e9b5f0432e3	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Enterobacterales_1	Enterobacteriaceae_1				Bacteria_Proteobacteria	100.000	100	0
6cd33eedaf1b4c183ce5cc9e2f26986f	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Pseudomonadales_1	Pseudomonadaceae_1	Pseudomonas_1			Bacteria_Proteobacteria	100.000	100	0
380e0446f14cf7d89dd7e81a3380b0e1	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rickettsiales_1	Mitochondria_1				Mitochondria	87.234	94	0
a538e0c72f940bfe5957d13756d7b83b	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Sphingomonadales_1	Sphingomonadaceae_1	Sphingomonas_1			Bacteria_Proteobacteria	100.000	100	0
d02f7f39da902821e65136364eb6a6b8	Bacteria_1									0	0	0
c78ef78cda6297c41168f3805d9759a2	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Enterobacterales_1	Enterobacteriaceae_1				Bacteria_Proteobacteria	100.000	100	0
0e832b78c3ed7217d516ae2f40426bef	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Cytophagales_1	Hymenobacteraceae_1	Hymenobacter_1			Bacteria_Bacteroidota	100.000	100	0
b523c2ccfd3aed46e351ef7bc42f5f06	Bacteria_1									0	0	0
51e4182fc25b356d52164f3de0d5d4b6	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Beijerinckiaceae_1	Methylobacterium-methylorubrum_1			Bacteria_Proteobacteria	100.000	100	0
a4ecfb2e708863a17978a0942358ffc3	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Enterobacterales_1	Enterobacteriaceae_1				Bacteria_Proteobacteria	100.000	100	0
e0e6e258d22bc3e3e1dcd02ca734a86b	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rickettsiales_1	Mitochondria_1				Mitochondria	100.000	100	0
a2ce9a33ff6d9cc05b0b236664f5419a	Bacteria_1									0	0	0
bc4ae61d84daab04b0e888d22f7d3f69	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Sphingomonadales_1	Sphingomonadaceae_1	Sphingomonas_1			Bacteria_Proteobacteria	100.000	100	0
39e6232035706ded12357d05b24af126	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rickettsiales_1	Mitochondria_1	Zasmidium_cellare_1			Mitochondria	83.444	100	0
161551008a744871aa77a22127bc4369	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Enterobacterales_1	Yersiniaceae_1	Yersinia_1			Bacteria_Proteobacteria	100.000	100	0
26d7bf8fc14b5c26e2ef21e17f97a7c0	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Beijerinckiaceae_1	Methylobacterium-methylorubrum_1			Bacteria_Proteobacteria	100.000	100	0
e66860dbaac1010e5b69f9780d84b3b2	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Beijerinckiaceae_1	Methylobacterium-methylorubrum_1			Bacteria_Proteobacteria	100.000	100	0
42a59c7dff777ec6a6a2ca3cea7cb806	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Sphingobacteriales_1	Sphingobacteriaceae_1				Bacteria_Bacteroidota	99.333	100	0
0892127bd85d1d5eccfde315c3fefa67	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rickettsiales_1	Mitochondria_1					0	0	0
2b06c863113821d1ea6d1ecd4b5c5aa3	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Cytophagales_1	Hymenobacteraceae_1	Hymenobacter_1			Bacteria_Bacteroidota	100.000	100	0
40a51c8f311c154804bfe19592eb169d	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Sphingomonadales_1	Sphingomonadaceae_1	Sphingomonas_1			Bacteria_Proteobacteria	100.000	100	0
4791ef3a6c7b096e00751ed7dcd46c02	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Sphingomonadales_1	Sphingomonadaceae_1	Sphingomonas_1			Bacteria_Proteobacteria	100.000	100	0
75c5f35120584c258c8ffa734a94ea8b	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Beijerinckiaceae_1	Methylobacterium-methylorubrum_1			Bacteria_Proteobacteria	100.000	100	0
5147cf5e03fda37cd7d06a92925c0b72	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Enterobacterales_1	Yersiniaceae_1	Serratia_1	Serratia_marcescens_1		Bacteria_Proteobacteria	100.000	100	0
b878ba679902d3d0a7db5e3be6cb44bd	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rickettsiales_1	Mitochondria_1					0	0	0
009a4919860d6d1fddec5d3771d37351	Bacteria_1	Firmicutes_1	Bacilli_1	Lactobacillales_1	Lactobacillaceae_1	Lactobacillus_1			Bacteria_Firmicutes	100.000	100	0
f8000a94d405169f38df61e7cf1cd286	Bacteria_1	Firmicutes_1	Bacilli_1	Lactobacillales_1	Lactobacillaceae_1	Pediococcus_1			Bacteria_Firmicutes	100.000	100	0
f2c605fbbbd3dcc47d7c69150be7e770	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Beijerinckiaceae_1	1174-901-12_1			Bacteria_Proteobacteria	100.000	100	0
518f8e02db274bf5bd690e0e0a698eff	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Beijerinckiaceae_1	1174-901-12_1			Bacteria_Proteobacteria	100.000	100	0
f56d7d31d8985781cb41b5e386676844	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Beijerinckiaceae_1	Methylobacterium-methylorubrum_1			Bacteria_Proteobacteria	100.000	100	0
bf8144aac6a30e6695ad6bf8f49131ab	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Sphingomonadales_1	Sphingomonadaceae_1	Sphingomonas_1			Bacteria_Proteobacteria	100.000	100	0
74be9c6c60e46c9e638e8262f42a6011	Bacteria_1									0	0	0
072861887b9af895d048d54d3b36d1e2	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Sphingomonadales_1	Sphingomonadaceae_1	Sphingomonas_1			Bacteria_Proteobacteria	100.000	100	0
1098295a57de232772da37e524323a3b	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Cytophagales_1	Hymenobacteraceae_1	Hymenobacter_1			Bacteria_Bacteroidota	100.000	100	0
c3719035e556ec810f4f96a50afdf4fe	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Cytophagales_1	Hymenobacteraceae_1	Hymenobacter_1			Bacteria_Bacteroidota	99.333	100	0
e6084bdc601fba2f8f9171349949e496	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Micrococcales_1	Microbacteriaceae_1	Yonghaparkia_1			Bacteria_Actinobacteriota	100.000	100	0
98fc74b05f52ed4db82cb764df42425b	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Sphingomonadales_1	Sphingomonadaceae_1	Sphingomonas_1			Bacteria_Proteobacteria	100.000	100	0
d3778d8b6b459219077bae3ef0da391b	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Cytophagales_1	Hymenobacteraceae_1	Hymenobacter_1			Bacteria_Bacteroidota	96.667	100	0
6054d274210c38d08d5a7f46e9807585	Bacteria_1	Bacteroidota_1	Bacteroidia_1	Sphingobacteriales_1	Sphingobacteriaceae_1	Pedobacter_1			Bacteria_Bacteroidota	100.000	100	0
72ed7b8feaa7ca375d8cf0647f3333bf	Bacteria_1									0	0	0
0df47ba8fdf63db32a4d9bc6dba17c0f	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Sphingomonadales_1	Sphingomonadaceae_1	Sphingomonas_1			Bacteria_Proteobacteria	100.000	100	0
8204a253746fbc431b065738f39565e8	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Rhizobiaceae_1	Allorhizobium-neorhizobium-pararhizobium-rhizobium_1			Bacteria_Proteobacteria	100.000	100	0
