"Compartment"	"Host_order"	"Rank_2"	"total_reads"	"total_reads_com_host"	"prop"
"1"	"Endophytic"	"Asparagales"	"Abditibacteriota"	32	318340	0.000100521455048062
"2"	"Endophytic"	"Asparagales"	"Acidobacteriota"	195	318340	0.000612552616699127
"3"	"Endophytic"	"Asparagales"	"Actinobacteriota"	43519	318340	0.136706037569894
"4"	"Endophytic"	"Asparagales"	"Armatimonadota"	84	318340	0.000263868819501162
"5"	"Endophytic"	"Asparagales"	"Bacteroidota"	32431	318340	0.10187535339574
"6"	"Endophytic"	"Asparagales"	"Bdellovibrionota"	7530	318340	0.023653954890997
"7"	"Endophytic"	"Asparagales"	"Campilobacterota"	0	318340	0
"8"	"Endophytic"	"Asparagales"	"Chloroflexi"	91	318340	0.000285857887792926
"9"	"Endophytic"	"Asparagales"	"Cyanobacteria"	260	318340	0.000816736822265502
"10"	"Endophytic"	"Asparagales"	"Deinococcota"	487	318340	0.00152981089401269
"11"	"Endophytic"	"Asparagales"	"Dependentiae"	0	318340	0
"12"	"Endophytic"	"Asparagales"	"Desulfobacterota"	15	318340	4.7119432053779e-05
"13"	"Endophytic"	"Asparagales"	"Elusimicrobiota"	0	318340	0
"14"	"Endophytic"	"Asparagales"	"Entotheonellaeota"	16	318340	5.02607275240309e-05
"15"	"Endophytic"	"Asparagales"	"Fibrobacterota"	3	318340	9.42388641075579e-06
"16"	"Endophytic"	"Asparagales"	"Firmicutes"	5711	318340	0.0179399384306088
"17"	"Endophytic"	"Asparagales"	"Fusobacteriota"	7	318340	2.19890682917635e-05
"18"	"Endophytic"	"Asparagales"	"Gemmatimonadota"	98	318340	0.000307846956084689
"19"	"Endophytic"	"Asparagales"	"Halanaerobiaeota"	0	318340	0
"20"	"Endophytic"	"Asparagales"	"Latescibacterota"	0	318340	0
"21"	"Endophytic"	"Asparagales"	"Mbnt15"	0	318340	0
"22"	"Endophytic"	"Asparagales"	"Myxococcota"	103	318340	0.000323553433435949
"23"	"Endophytic"	"Asparagales"	"Nb1-j"	32	318340	0.000100521455048062
"24"	"Endophytic"	"Asparagales"	"Nitrospirota"	42	318340	0.000131934409750581
"25"	"Endophytic"	"Asparagales"	"Patescibacteria"	36	318340	0.00011308663692907
"26"	"Endophytic"	"Asparagales"	"Planctomycetota"	51	318340	0.000160206068982849
"27"	"Endophytic"	"Asparagales"	"Proteobacteria"	227541	318340	0.714773512596595
"28"	"Endophytic"	"Asparagales"	"Rcp2-54"	7	318340	2.19890682917635e-05
"29"	"Endophytic"	"Asparagales"	"Sar324"	0	318340	0
"30"	"Endophytic"	"Asparagales"	"Spirochaetota"	0	318340	0
"31"	"Endophytic"	"Asparagales"	"Verrucomicrobiota"	49	318340	0.000153923478042345
"32"	"Endophytic"	"Fabales"	"Abditibacteriota"	50	543392	9.20146045580354e-05
"33"	"Endophytic"	"Fabales"	"Acidobacteriota"	2414	543392	0.00444246510806195
"34"	"Endophytic"	"Fabales"	"Actinobacteriota"	226967	543392	0.417685575054473
"35"	"Endophytic"	"Fabales"	"Armatimonadota"	124	543392	0.000228196219303928
"36"	"Endophytic"	"Fabales"	"Bacteroidota"	9473	543392	0.0174330869795654
"37"	"Endophytic"	"Fabales"	"Bdellovibrionota"	159	543392	0.000292606442494553
"38"	"Endophytic"	"Fabales"	"Campilobacterota"	0	543392	0
"39"	"Endophytic"	"Fabales"	"Chloroflexi"	1212	543392	0.00223043401448678
"40"	"Endophytic"	"Fabales"	"Cyanobacteria"	77	543392	0.000141702491019375
"41"	"Endophytic"	"Fabales"	"Dadabacteria"	0	543392	0
"42"	"Endophytic"	"Fabales"	"Deinococcota"	28	543392	5.15281785524999e-05
"43"	"Endophytic"	"Fabales"	"Dependentiae"	20	543392	3.68058418232142e-05
"44"	"Endophytic"	"Fabales"	"Desulfobacterota"	39	543392	7.17713915552676e-05
"45"	"Endophytic"	"Fabales"	"Elusimicrobiota"	7	543392	1.2882044638125e-05
"46"	"Endophytic"	"Fabales"	"Entotheonellaeota"	176	543392	0.000323891408044285
"47"	"Endophytic"	"Fabales"	"Fibrobacterota"	20	543392	3.68058418232142e-05
"48"	"Endophytic"	"Fabales"	"Firmicutes"	46166	543392	0.0849589246805253
"49"	"Endophytic"	"Fabales"	"Fusobacteriota"	0	543392	0
"50"	"Endophytic"	"Fabales"	"Gemmatimonadota"	2554	543392	0.00470010600082445
"51"	"Endophytic"	"Fabales"	"Latescibacterota"	40	543392	7.36116836464284e-05
"52"	"Endophytic"	"Fabales"	"Myxococcota"	4974	543392	0.00915361286143337
"53"	"Endophytic"	"Fabales"	"Nb1-j"	68	543392	0.000125139862198928
"54"	"Endophytic"	"Fabales"	"Nitrospirota"	129	543392	0.000237397679759731
"55"	"Endophytic"	"Fabales"	"Patescibacteria"	165	543392	0.000303648195041517
"56"	"Endophytic"	"Fabales"	"Planctomycetota"	122	543392	0.000224515635121607
"57"	"Endophytic"	"Fabales"	"Proteobacteria"	247556	543392	0.455575348919381
"58"	"Endophytic"	"Fabales"	"Sar324"	3	543392	5.52087627348213e-06
"59"	"Endophytic"	"Fabales"	"Spirochaetota"	0	543392	0
"60"	"Endophytic"	"Fabales"	"Verrucomicrobiota"	849	543392	0.00156240798539544
"61"	"Endophytic"	"Gentianales"	"Abditibacteriota"	7	93163	7.51371252535878e-05
"62"	"Endophytic"	"Gentianales"	"Acidobacteriota"	123	93163	0.0013202666294559
"63"	"Endophytic"	"Gentianales"	"Actinobacteriota"	3187	93163	0.0342088597404549
"64"	"Endophytic"	"Gentianales"	"Apal-e12"	0	93163	0
"65"	"Endophytic"	"Gentianales"	"Armatimonadota"	40	93163	0.000429355001449073
"66"	"Endophytic"	"Gentianales"	"Bacteroidota"	1293	93163	0.0138789004218413
"67"	"Endophytic"	"Gentianales"	"Bdellovibrionota"	37	93163	0.000397153376340393
"68"	"Endophytic"	"Gentianales"	"Calditrichota"	0	93163	0
"69"	"Endophytic"	"Gentianales"	"Campilobacterota"	0	93163	0
"70"	"Endophytic"	"Gentianales"	"Chloroflexi"	411	93163	0.00441162263988923
"71"	"Endophytic"	"Gentianales"	"Cloacimonadota"	0	93163	0
"72"	"Endophytic"	"Gentianales"	"Cyanobacteria"	34344	93163	0.368644204244174
"73"	"Endophytic"	"Gentianales"	"Dadabacteria"	0	93163	0
"74"	"Endophytic"	"Gentianales"	"Deferribacterota"	0	93163	0
"75"	"Endophytic"	"Gentianales"	"Deferrisomatota"	0	93163	0
"76"	"Endophytic"	"Gentianales"	"Deinococcota"	19	93163	0.00020394362568831
"77"	"Endophytic"	"Gentianales"	"Dependentiae"	19	93163	0.00020394362568831
"78"	"Endophytic"	"Gentianales"	"Desulfobacterota"	52	93163	0.000558161501883795
"79"	"Endophytic"	"Gentianales"	"Elusimicrobiota"	0	93163	0
"80"	"Endophytic"	"Gentianales"	"Entotheonellaeota"	0	93163	0
"81"	"Endophytic"	"Gentianales"	"Fcpu426"	0	93163	0
"82"	"Endophytic"	"Gentianales"	"Fermentibacterota"	0	93163	0
"83"	"Endophytic"	"Gentianales"	"Fibrobacterota"	17	93163	0.000182475875615856
"84"	"Endophytic"	"Gentianales"	"Firmicutes"	3046	93163	0.0326953833603469
"85"	"Endophytic"	"Gentianales"	"Fusobacteriota"	3	93163	3.22016251086805e-05
"86"	"Endophytic"	"Gentianales"	"Gal15"	0	93163	0
"87"	"Endophytic"	"Gentianales"	"Gemmatimonadota"	136	93163	0.00145980700492685
"88"	"Endophytic"	"Gentianales"	"Hydrogenedentes"	4	93163	4.29355001449073e-05
"89"	"Endophytic"	"Gentianales"	"Latescibacterota"	0	93163	0
"90"	"Endophytic"	"Gentianales"	"Lcp-89"	0	93163	0
"91"	"Endophytic"	"Gentianales"	"Marinimicrobia"	0	93163	0
"92"	"Endophytic"	"Gentianales"	"Mbnt15"	0	93163	0
"93"	"Endophytic"	"Gentianales"	"Methylomirabilota"	0	93163	0
"94"	"Endophytic"	"Gentianales"	"Modulibacteria"	0	93163	0
"95"	"Endophytic"	"Gentianales"	"Myxococcota"	121	93163	0.00129879887938345
"96"	"Endophytic"	"Gentianales"	"Nb1-j"	0	93163	0
"97"	"Endophytic"	"Gentianales"	"Nitrospirota"	0	93163	0
"98"	"Endophytic"	"Gentianales"	"Patescibacteria"	211	93163	0.00226484763264386
"99"	"Endophytic"	"Gentianales"	"Planctomycetota"	755	93163	0.00810407565235126
"100"	"Endophytic"	"Gentianales"	"Proteobacteria"	48565	93163	0.521290641134356
"101"	"Endophytic"	"Gentianales"	"Rcp2-54"	0	93163	0
"102"	"Endophytic"	"Gentianales"	"Sar324"	0	93163	0
"103"	"Endophytic"	"Gentianales"	"Schekmanbacteria"	0	93163	0
"104"	"Endophytic"	"Gentianales"	"Spirochaetota"	3	93163	3.22016251086805e-05
"105"	"Endophytic"	"Gentianales"	"Sumerlaeota"	3	93163	3.22016251086805e-05
"106"	"Endophytic"	"Gentianales"	"Sva0485"	0	93163	0
"107"	"Endophytic"	"Gentianales"	"Synergistota"	0	93163	0
"108"	"Endophytic"	"Gentianales"	"Verrucomicrobiota"	767	93163	0.00823288215278598
"109"	"Endophytic"	"Gentianales"	"Wps-2"	0	93163	0
"110"	"Endophytic"	"Gentianales"	"Ws2"	0	93163	0
"111"	"Endophytic"	"Gentianales"	"Zixibacteria"	0	93163	0
"112"	"Endophytic"	"Lamiales"	"Abditibacteriota"	31	319487	9.70305521038415e-05
"113"	"Endophytic"	"Lamiales"	"Acidobacteriota"	5511	319487	0.0172495281498152
"114"	"Endophytic"	"Lamiales"	"Actinobacteriota"	33197	319487	0.103907201231975
"115"	"Endophytic"	"Lamiales"	"Aerophobota"	0	319487	0
"116"	"Endophytic"	"Lamiales"	"Aquificota"	0	319487	0
"117"	"Endophytic"	"Lamiales"	"Armatimonadota"	137	319487	0.000428812439942783
"118"	"Endophytic"	"Lamiales"	"Bacteroidota"	102370	319487	0.320419923189363
"119"	"Endophytic"	"Lamiales"	"Bdellovibrionota"	340	319487	0.00106420605533245
"120"	"Endophytic"	"Lamiales"	"Caldatribacteriota"	0	319487	0
