"Compartment"	"Host_order"	"Class"	"total_reads"	"total_reads_com_host"	"prop"
"1"	"Endophytic"	"Alismatales"	""	484	35685	0.0135631217598431
"2"	"Endophytic"	"Alismatales"	"Agaricomycetes"	0	35685	0
"3"	"Endophytic"	"Alismatales"	"Agaricostilbomycetes"	0	35685	0
"4"	"Endophytic"	"Alismatales"	"Arthoniomycetes"	0	35685	0
"5"	"Endophytic"	"Alismatales"	"Cystobasidiomycetes"	0	35685	0
"6"	"Endophytic"	"Alismatales"	"Dacrymycetes"	0	35685	0
"7"	"Endophytic"	"Alismatales"	"Dothideomycetes"	15804	35685	0.442875157629256
"8"	"Endophytic"	"Alismatales"	"Eurotiomycetes"	1316	35685	0.0368782401569287
"9"	"Endophytic"	"Alismatales"	"Exobasidiomycetes"	0	35685	0
"10"	"Endophytic"	"Alismatales"	"Lecanoromycetes"	0	35685	0
"11"	"Endophytic"	"Alismatales"	"Leotiomycetes"	742	35685	0.020793050301247
"12"	"Endophytic"	"Alismatales"	"Microbotryomycetes"	0	35685	0
"13"	"Endophytic"	"Alismatales"	"Orbiliomycetes"	65	35685	0.00182149362477231
"14"	"Endophytic"	"Alismatales"	"Pezizomycetes"	0	35685	0
"15"	"Endophytic"	"Alismatales"	"Pucciniomycetes"	0	35685	0
"16"	"Endophytic"	"Alismatales"	"Saccharomycetes"	398	35685	0.0111531455793751
"17"	"Endophytic"	"Alismatales"	"Sordariomycetes"	6726	35685	0.18848255569567
"18"	"Endophytic"	"Alismatales"	"Taphrinomycetes"	0	35685	0
"19"	"Endophytic"	"Alismatales"	"Tremellomycetes"	10150	35685	0.284433235252907
"20"	"Endophytic"	"Apiales"	""	78	25115	0.00310571371690225
"21"	"Endophytic"	"Apiales"	"Agaricomycetes"	22	25115	0.000875970535536532
"22"	"Endophytic"	"Apiales"	"Agaricostilbomycetes"	0	25115	0
"23"	"Endophytic"	"Apiales"	"Arthoniomycetes"	94	25115	0.00374278319729245
"24"	"Endophytic"	"Apiales"	"Cystobasidiomycetes"	0	25115	0
"25"	"Endophytic"	"Apiales"	"Dacrymycetes"	0	25115	0
"26"	"Endophytic"	"Apiales"	"Dothideomycetes"	13053	25115	0.519729245470834
"27"	"Endophytic"	"Apiales"	"Eurotiomycetes"	475	25115	0.0189130001990842
"28"	"Endophytic"	"Apiales"	"Exobasidiomycetes"	0	25115	0
"29"	"Endophytic"	"Apiales"	"Lecanoromycetes"	0	25115	0
"30"	"Endophytic"	"Apiales"	"Leotiomycetes"	258	25115	0.0102727453712921
"31"	"Endophytic"	"Apiales"	"Microbotryomycetes"	0	25115	0
"32"	"Endophytic"	"Apiales"	"Orbiliomycetes"	0	25115	0
"33"	"Endophytic"	"Apiales"	"Pezizomycetes"	0	25115	0
"34"	"Endophytic"	"Apiales"	"Pucciniomycetes"	0	25115	0
"35"	"Endophytic"	"Apiales"	"Saccharomycetes"	348	25115	0.013856261198487
"36"	"Endophytic"	"Apiales"	"Sordariomycetes"	6948	25115	0.276647421859447
"37"	"Endophytic"	"Apiales"	"Taphrinomycetes"	0	25115	0
"38"	"Endophytic"	"Apiales"	"Tremellomycetes"	3839	25115	0.152856858451125
"39"	"Endophytic"	"Arecales"	""	72	4166	0.0172827652424388
"40"	"Endophytic"	"Arecales"	"Agaricomycetes"	0	4166	0
"41"	"Endophytic"	"Arecales"	"Agaricostilbomycetes"	0	4166	0
"42"	"Endophytic"	"Arecales"	"Arthoniomycetes"	0	4166	0
"43"	"Endophytic"	"Arecales"	"Cystobasidiomycetes"	0	4166	0
"44"	"Endophytic"	"Arecales"	"Dacrymycetes"	0	4166	0
"45"	"Endophytic"	"Arecales"	"Dothideomycetes"	1480	4166	0.355256841094575
"46"	"Endophytic"	"Arecales"	"Eurotiomycetes"	0	4166	0
"47"	"Endophytic"	"Arecales"	"Exobasidiomycetes"	0	4166	0
"48"	"Endophytic"	"Arecales"	"Lecanoromycetes"	14	4166	0.00336053768602976
"49"	"Endophytic"	"Arecales"	"Leotiomycetes"	0	4166	0
"50"	"Endophytic"	"Arecales"	"Microbotryomycetes"	0	4166	0
"51"	"Endophytic"	"Arecales"	"Orbiliomycetes"	0	4166	0
"52"	"Endophytic"	"Arecales"	"Pezizomycetes"	0	4166	0
"53"	"Endophytic"	"Arecales"	"Pucciniomycetes"	0	4166	0
"54"	"Endophytic"	"Arecales"	"Saccharomycetes"	0	4166	0
"55"	"Endophytic"	"Arecales"	"Sordariomycetes"	2190	4166	0.525684109457513
"56"	"Endophytic"	"Arecales"	"Taphrinomycetes"	0	4166	0
"57"	"Endophytic"	"Arecales"	"Tremellomycetes"	410	4166	0.0984157465194431
"58"	"Endophytic"	"Asparagales"	""	118	4754	0.0248212031973075
"59"	"Endophytic"	"Asparagales"	"Agaricomycetes"	0	4754	0
"60"	"Endophytic"	"Asparagales"	"Agaricostilbomycetes"	2	4754	0.000420698359276399
"61"	"Endophytic"	"Asparagales"	"Arthoniomycetes"	58	4754	0.0122002524190156
"62"	"Endophytic"	"Asparagales"	"Cystobasidiomycetes"	0	4754	0
"63"	"Endophytic"	"Asparagales"	"Dacrymycetes"	0	4754	0
"64"	"Endophytic"	"Asparagales"	"Dothideomycetes"	440	4754	0.0925536390408077
"65"	"Endophytic"	"Asparagales"	"Eurotiomycetes"	0	4754	0
"66"	"Endophytic"	"Asparagales"	"Exobasidiomycetes"	0	4754	0
"67"	"Endophytic"	"Asparagales"	"Lecanoromycetes"	102	4754	0.0214556163230963
"68"	"Endophytic"	"Asparagales"	"Leotiomycetes"	32	4754	0.00673117374842238
"69"	"Endophytic"	"Asparagales"	"Microbotryomycetes"	0	4754	0
"70"	"Endophytic"	"Asparagales"	"Orbiliomycetes"	0	4754	0
"71"	"Endophytic"	"Asparagales"	"Pezizomycetes"	0	4754	0
"72"	"Endophytic"	"Asparagales"	"Pucciniomycetes"	0	4754	0
"73"	"Endophytic"	"Asparagales"	"Saccharomycetes"	172	4754	0.0361800588977703
"74"	"Endophytic"	"Asparagales"	"Sordariomycetes"	50	4754	0.01051745898191
"75"	"Endophytic"	"Asparagales"	"Taphrinomycetes"	0	4754	0
"76"	"Endophytic"	"Asparagales"	"Tremellomycetes"	3780	4754	0.795119899032394
"77"	"Endophytic"	"Asterales"	""	196	12460	0.0157303370786517
"78"	"Endophytic"	"Asterales"	"Agaricomycetes"	0	12460	0
"79"	"Endophytic"	"Asterales"	"Agaricostilbomycetes"	0	12460	0
"80"	"Endophytic"	"Asterales"	"Arthoniomycetes"	0	12460	0
"81"	"Endophytic"	"Asterales"	"Cystobasidiomycetes"	0	12460	0
"82"	"Endophytic"	"Asterales"	"Dacrymycetes"	0	12460	0
"83"	"Endophytic"	"Asterales"	"Dothideomycetes"	8544	12460	0.685714285714286
"84"	"Endophytic"	"Asterales"	"Eurotiomycetes"	0	12460	0
"85"	"Endophytic"	"Asterales"	"Exobasidiomycetes"	0	12460	0
"86"	"Endophytic"	"Asterales"	"Lecanoromycetes"	0	12460	0
"87"	"Endophytic"	"Asterales"	"Leotiomycetes"	0	12460	0
"88"	"Endophytic"	"Asterales"	"Microbotryomycetes"	0	12460	0
